Name,us_news_schoolType,us_news_aliasNames,state,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting
DePauw University,national-liberal-arts-colleges,,IN,Greencastle,,private,#46,46,True,24.0,50.0,66.0,57070.0,3.9,1752,1140.0,30293.0,Rural
Dickinson College,national-liberal-arts-colleges,,PA,Carlisle,,private,#46,46,True,29.0,62.0,35.0,63450.0,,2125,1260.0,32317.0,Suburban
Dillard University,national-liberal-arts-colleges,,LA,New Orleans,,private,#159,159,True,19.0,,80.0,22594.0,3.4,1224,988.0,,City
Divine Word College,national-liberal-arts-colleges,,IA,Epworth,,private,Unranked,-2,False,,,100.0,14620.0,,67,,,
Drew University,national-liberal-arts-colleges,,NJ,Madison,,private,#93,93,True,26.0,,73.0,43824.0,3.5,1549,1120.0,,
Earlham College,national-liberal-arts-colleges,,IN,Richmond,,private,#100,100,True,24.0,81.0,73.0,51840.0,3.7,612,1130.0,24721.0,
East-West University,national-liberal-arts-colleges,East West University,IL,Chicago,,private,#186-204,-1,False,,,,23400.0,,487,,,
Eckerd College,national-liberal-arts-colleges,,FL,St. Petersburg,,private,#130,130,True,23.0,,65.0,50374.0,,1993,1107.0,,
Emmanuel College,national-liberal-arts-colleges,,MA,Boston,,private,#152,152,True,25.0,,80.0,46686.0,,1947,1160.0,,Urban
Fisk University,national-liberal-arts-colleges,,TN,Nashville,,private,#146,146,True,19.0,,71.0,23578.0,,1009,1090.0,,Urban
Franklin College,national-liberal-arts-colleges,,IN,Franklin,,private,#139,139,True,18.0,,93.0,37350.0,3.5,894,970.0,,Suburban
Franklin & Marshall College,national-liberal-arts-colleges,F&M Franklin & Marshall,PA,Lancaster,,private,#35,35,True,30.0,58.0,36.0,68380.0,,1990,1300.0,29609.0,
Furman University,national-liberal-arts-colleges,,SC,Greenville,,private,#46,46,True,28.0,45.0,67.0,58312.0,3.7,2283,1260.0,34330.0,Suburban
Georgetown College,national-liberal-arts-colleges,,KY,Georgetown,,private,#186-204,-1,False,18.0,,72.0,42010.0,3.6,1233,1030.0,,Suburban
Gettysburg College,national-liberal-arts-colleges,,PA,Gettysburg,,private,#63,63,True,28.0,60.0,56.0,64230.0,,2241,1350.0,31048.0,Suburban
Gordon College,national-liberal-arts-colleges,,MA,Wenham,,private,#163,163,True,23.0,,92.0,28100.0,3.7,1294,1070.0,,
Goucher College,national-liberal-arts-colleges,,MD,Baltimore,,private,#124,124,True,24.0,,81.0,51250.0,3.3,1002,1110.0,,
Grinnell College,national-liberal-arts-colleges,,IA,Grinnell,,private,#11,11,True,31.0,64.0,11.0,64862.0,,1759,1380.0,22854.0,Rural
Guilford College,national-liberal-arts-colleges,,NC,Greensboro,,private,#167,167,True,17.0,,82.0,41140.0,,1192,950.0,,
Gustavus Adolphus College,national-liberal-arts-colleges,,MN,St. Peter,,private,#67,67,True,25.0,66.0,74.0,54310.0,3.6,2088,,29637.0,
Hamilton College,national-liberal-arts-colleges,,NY,Clinton,,private,#16,16,True,33.0,51.0,12.0,65740.0,,2075,1420.0,29735.0,Rural
Hampden-Sydney College,national-liberal-arts-colleges,Hampden Sydney College,VA,Hampden-Sydney,,private,#116,116,True,23.0,,40.0,52388.0,3.4,835,1040.0,,
Hampshire College,national-liberal-arts-colleges,,MA,Amherst,,private,#139,139,True,,,69.0,56990.0,3.3,508,,,
Hanover College,national-liberal-arts-colleges,,IN,Hanover,,private,#112,112,True,24.0,,74.0,41441.0,3.8,951,1090.0,,
Hartwick College,national-liberal-arts-colleges,,NY,Oneonta,,private,#121,121,True,19.0,,60.0,52849.0,3.5,1099,1020.0,,Rural
Harvey Mudd College,national-liberal-arts-colleges,,CA,Claremont,,private,#16,16,True,34.0,44.0,13.0,66255.0,,906,1480.0,36221.0,
